2019/10/26 15:37:46 Main: Join the group
2019/10/26 15:37:46 read udp 172.22.152.246:41047->172.22.154.242:8888: read: connection refused
2019/10/26 15:37:46 read udp 172.22.152.246:41967->172.22.156.242:8888: read: connection refused
2019/10/26 15:37:46 read udp 172.22.152.246:56076->172.22.152.247:8888: read: connection refused
2019/10/26 15:37:46 addNode(): Adding nodeID fa19-cs425-g73-01.cs.illinois.edu:20191026153746...
2019/10/26 15:37:46 addNode(): Successfully added!
2019/10/26 15:37:46 Updater: New List is: 
2019/10/26 15:37:46 [fa19-cs425-g73-01.cs.illinois.edu:20191026153746]
2019/10/26 15:37:52 Introducer: JoinMsg Received from Node: fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:52 addNode(): Adding nodeID fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:52 addNode(): Successfully added!
2019/10/26 15:37:52 Updater: New List is: 
2019/10/26 15:37:52 [fa19-cs425-g73-01.cs.illinois.edu:20191026153746 fa19-cs425-g73-02.cs.illinois.edu:20191026153752]
2019/10/26 15:37:52 Introducer: JoinAck Sent to Node: fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:58 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:58 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:58 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:59 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:59 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:59 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:37:59 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:00 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:00 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:00 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:01 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:01 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:01 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:02 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:02 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:02 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:03 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:03 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:03 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:03 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:04 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:04 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:04 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:05 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:05 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:05 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:06 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:06 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:06 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:06 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:07 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:07 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:07 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:08 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:08 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:08 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:09 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:09 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:09 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:09 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:10 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:10 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:10 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:11 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:11 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:11 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:12 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:12 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:12 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:12 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:13 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:13 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:13 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:14 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:14 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:14 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:15 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:15 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:15 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:15 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:16 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:16 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:16 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:17 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:17 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:17 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:18 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:18 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:18 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:18 Main: Show all files
2019/10/26 15:38:18 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:19 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:19 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:19 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:20 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:20 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:20 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:21 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:21 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:21 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:21 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:22 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:22 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:22 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:23 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:23 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:23 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:24 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:24 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:24 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:24 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:25 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:25 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:25 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:26 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:26 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:26 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:27 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:27 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:27 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:27 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:28 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:28 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:28 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:29 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:29 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:29 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:30 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:30 HBListener: Received Message Type: Heartbeat from fa19-cs425-g73-02.cs.illinois.edu:20191026153752...
2019/10/26 15:38:30 Main: Put localfilename sdfsfilename
